,precision,recall,f1-score,support
family,0.8527131782945736,0.8088235294117647,0.8301886792452831,272.0
romantic,0.5740740740740741,0.496,0.5321888412017167,125.0
friend_ally,0.45714285714285713,0.42857142857142855,0.4423963133640553,112.0
service_retainer,0.6067415730337079,0.6428571428571429,0.6242774566473989,84.0
enemy_rival,0.41975308641975306,0.5396825396825397,0.4722222222222222,63.0
no_relation,0.6160714285714286,0.6602870813397129,0.6374133949191686,209.0
accuracy,0.6427745664739885,0.6427745664739885,0.6427745664739885,0.6427745664739885
macro avg,0.5877493662560657,0.5960369536437647,0.5897811512666408,865.0
weighted avg,0.6486322646313153,0.6427745664739885,0.6442682299401081,865.0
