epoch,train_loss,dev_accuracy,dev_macro_f1,dev_weighted_f1
1,1.625552912062405,0.453551912568306,0.3837012249714147,0.4533376455727865
2,1.3511338230582637,0.5224043715846994,0.46735369493487305,0.5283495937791242
3,1.0927329440308695,0.5333333333333333,0.5000035915921925,0.5461877405425588
4,0.8749581482011665,0.5606557377049181,0.5273311708422689,0.5659539470940321
5,0.672519664502486,0.6087431693989072,0.5695576418505093,0.6155368748767264
6,0.5069218130567107,0.6371584699453552,0.596182143310079,0.6380604851829853
7,0.39257605016666197,0.6185792349726776,0.5771965427891662,0.6262134059127967
8,0.30798400349965854,0.614207650273224,0.5782054467339783,0.6173305398808073
