,precision,recall,f1-score,support
family,0.8607142857142858,0.8860294117647058,0.8731884057971014,272.0
romantic,0.7216494845360825,0.56,0.6306306306306306,125.0
friend_ally,0.5698924731182796,0.4732142857142857,0.5170731707317073,112.0
service_retainer,0.72,0.6428571428571429,0.6792452830188679,84.0
enemy_rival,0.6486486486486487,0.38095238095238093,0.48,63.0
no_relation,0.5618374558303887,0.7607655502392344,0.6463414634146342,209.0
accuracy,0.6947976878612717,0.6947976878612717,0.6947976878612717,0.6947976878612717
macro avg,0.6804570579746142,0.6173031285879583,0.6377464922654902,865.0
weighted avg,0.7016385218542884,0.6947976878612717,0.6897459421443181,865.0
