,precision,recall,f1-score,support
family,0.9104477611940298,0.8970588235294118,0.9037037037037037,272.0
romantic,0.7798165137614679,0.68,0.7264957264957265,125.0
friend_ally,0.6190476190476191,0.6964285714285714,0.6554621848739496,112.0
service_retainer,0.8170731707317073,0.7976190476190477,0.8072289156626506,84.0
enemy_rival,0.6833333333333333,0.6507936507936508,0.6666666666666666,63.0
no_relation,0.6909090909090909,0.7272727272727273,0.7086247086247086,209.0
accuracy,0.7710982658959538,0.7710982658959538,0.7710982658959538,0.7710982658959538
macro avg,0.750104581496208,0.741528803440568,0.7446969843379009,865.0
weighted avg,0.7751865143812212,0.7710982658959538,0.7721860473335055,865.0
