model_family,model_name,text_column,dev_accuracy,dev_macro_f1,dev_weighted_f1,test_accuracy,test_macro_f1,test_weighted_f1,train_examples,dev_examples,test_examples
Transformer,distilbert_marked,text_marked,0.7639344262295082,0.739657593407702,0.7632017909465304,0.7710982658959538,0.7446969843379009,0.7721860473335055,4251,915,865
TF-IDF + Logistic Regression,tfidf_logreg_basic,text_basic,0.7180327868852459,0.6787547089900001,0.7155050433498858,0.6947976878612717,0.6377464922654902,0.6897459421443181,4251,915,865
TF-IDF + Logistic Regression,tfidf_logreg_marked,text_marked,0.7136612021857923,0.6682501507728985,0.7102619759292371,0.7028901734104046,0.6497575564948171,0.6962801161636818,4251,915,865
BiLSTM,bilstm_marked,text_marked,0.6371584699453552,0.596182143310079,0.6380604851829853,0.6427745664739885,0.5897811512666408,0.6442682299401081,4251,915,865
